,id,bdate,sex,last_seen,can_write_private_message,country,city,relation,games,books,tag
12,14021831,4.11.1983,1,"{'platform': 1, 'time': 1594698283}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
13,17121021,,2,"{'platform': 4, 'time': 1634535659}",1,,,,,,
14,23368690,,1,"{'platform': 4, 'time': 1635579649}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1141697, 'title': 'Pavlovo'}",4,,,
15,27995121,11.2.1983,2,"{'platform': 4, 'time': 1635448174}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 3827, 'title': 'Pervomaysk'}",,,,
16,24489720,,1,"{'platform': 1, 'time': 1627961334}",1,"{'id': 1, 'title': 'Russia'}","{'id': 49, 'title': 'Yekaterinburg'}",,,,
17,42742734,12.10.1991,1,"{'platform': 7, 'time': 1317132661}",,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",6,,,
18,6194195,,1,"{'platform': 2, 'time': 1635595809}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
19,6215167,2.3.1986,2,"{'platform': 4, 'time': 1635503075}",1,"{'id': 1, 'title': 'Russia'}","{'id': 106, 'title': 'Orenburg'}",,,,
20,15551737,,1,"{'platform': 1, 'time': 1606273834}",1,,,,,,
21,7762855,28.7.1983,1,"{'platform': 1, 'time': 1634879894}",1,"{'id': 1, 'title': 'Russia'}","{'id': 37, 'title': 'Vladivostok'}",4,,,
22,20808824,,1,"{'platform': 1, 'time': 1620143656}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
23,33577254,,1,"{'platform': 7, 'time': 1635605317}",,"{'id': 1, 'title': 'Russia'}","{'id': 147, 'title': 'Tyumen'}",,,,
24,22731055,12.10.1996,2,"{'platform': 1, 'time': 1620119577}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",2,S.T.A.L.K.E.R,S.T.A.L.K.E.R,
25,23708130,,1,"{'platform': 7, 'time': 1362376529}",1,,,4,,,
26,36964638,,1,"{'platform': 1, 'time': 1496176257}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 427, 'title': 'Kherson'}",4,,,
27,11373983,,2,"{'platform': 1, 'time': 1594449064}",1,"{'id': 1, 'title': 'Russia'}","{'id': 153, 'title': 'Khabarovsk'}",,,,
28,48288993,,2,"{'platform': 7, 'time': 1496061090}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
29,23167271,,2,"{'platform': 4, 'time': 1635509680}",1,"{'id': 1, 'title': 'Russia'}",,,,,
30,44213025,12.5.1992,1,"{'platform': 4, 'time': 1585148146}",1,"{'id': 1, 'title': 'Russia'}",,4,,,
31,16754189,,1,"{'platform': 1, 'time': 1620120822}",1,"{'id': 1, 'title': 'Russia'}",,,Футбол,"Алхимик, , Паоло Коэльо",
32,2129622,,2,"{'platform': 2, 'time': 1631306947}",1,"{'id': 1, 'title': 'Russia'}","{'id': 147, 'title': 'Tyumen'}",,,,
33,35733334,,2,"{'platform': 7, 'time': 1350369944}",1,"{'id': 1, 'title': 'Russia'}","{'id': 10, 'title': 'Volgograd'}",,,,
34,35616707,,2,"{'platform': 7, 'time': 1350359874}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
35,13484035,,1,"{'platform': 7, 'time': 1328361012}",,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
36,25831444,,1,"{'platform': 7, 'time': 1282568197}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
37,12947497,26.3.1991,1,"{'platform': 7, 'time': 1595573909}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 650, 'title': 'Dnipropetrovsk (Dnipro)'}",,,,
38,12246765,,1,"{'platform': 1, 'time': 1419891731}",,,,,,,
39,10528072,4.5.1963,2,"{'platform': 7, 'time': 1350632789}",1,"{'id': 4, 'title': 'Kazakhstan'}","{'id': 536, 'title': 'Pavlodar'}",4,,,
40,25793578,,2,"{'platform': 7, 'time': 1328584943}",1,"{'id': 1, 'title': 'Russia'}","{'id': 340, 'title': 'Serpukhov'}",,,,
41,8733759,31.1.1968,2,"{'platform': 1, 'time': 1620156796}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
42,48459920,,2,"{'platform': 2, 'time': 1628313069}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
43,26602903,,1,"{'platform': 4, 'time': 1541285356}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 4116, 'title': 'Smela'}",,,,
44,35665714,,1,"{'platform': 7, 'time': 1347909457}",1,"{'id': 1, 'title': 'Russia'}","{'id': 112, 'title': 'Petrozavodsk'}",2,,,
45,10580064,27.1.1990,2,"{'platform': 7, 'time': 1359737868}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",7,Покер.Бильярд.Шахматы.Хардбол ,Приходите в гости.Люблю читать,
46,2507759,4.6.1994,2,"{'platform': 4, 'time': 1635604891}",,"{'id': 1, 'title': 'Russia'}","{'id': 72, 'title': 'Krasnodar'}",,,,
47,30070956,,2,"{'platform': 7, 'time': 1250277227}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
48,42442164,,1,"{'platform': 4, 'time': 1635593672}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 7739, 'title': 'Amvrosievka'}",4,Разные,Энциклопедии,
49,26259814,20.5.1990,1,"{'platform': 7, 'time': 1328521113}",,"{'id': 2, 'title': 'Ukraine'}","{'id': 292, 'title': 'Odessa'}",,,,
50,44146395,,1,"{'platform': 7, 'time': 1328817820}",1,"{'id': 12, 'title': 'Latvia'}",,4,,,
51,20886054,,1,"{'platform': 1, 'time': 1509205789}",1,,,,,,
52,32982763,4.7.1996,2,"{'platform': 1, 'time': 1606307755}",1,"{'id': 1, 'title': 'Russia'}","{'id': 3695, 'title': 'Balakirevo'}",,,,
53,6412064,,1,"{'platform': 1, 'time': 1631132365}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
54,12456374,29.11.1986,1,"{'platform': 1, 'time': 1635605318}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
55,3215238,24.8.1980,1,"{'platform': 4, 'time': 1635333909}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
56,41753563,,1,"{'platform': 7, 'time': 1289489160}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 292, 'title': 'Odessa'}",5,,Все произведения Виктории Тока,
57,23983965,,1,"{'platform': 1, 'time': 1627955549}",,"{'id': 3, 'title': 'Belarus'}","{'id': 282, 'title': 'Minsk'}",,,,
58,30704900,,2,"{'platform': 7, 'time': 1348910388}",,,,,,,
59,29184490,,1,"{'platform': 7, 'time': 1325825644}",1,"{'id': 1, 'title': 'Russia'}","{'id': 161, 'title': 'Chita'}",,,,
60,18545984,,2,"{'platform': 1, 'time': 1635593826}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
61,49097304,,1,"{'platform': 7, 'time': 1327872622}",1,"{'id': 1, 'title': 'Russia'}",,,,,
62,44815905,4.12.1982,1,"{'platform': 2, 'time': 1635580288}",,"{'id': 1, 'title': 'Russia'}","{'id': 151, 'title': 'Ufa'}",,,,
63,42450677,5.2.1984,2,"{'platform': 7, 'time': 1493013654}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 2106, 'title': 'Ivano-Frankovsk'}",,Travian,,
64,20861870,,1,"{'platform': 7, 'time': 1635604204}",1,,,,,,
65,26889639,5.11.1986,2,"{'platform': 7, 'time': 1320966447}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",5,,"Читаю Булгакова, Островского, ",
66,18338962,,1,"{'platform': 1, 'time': 1627968769}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",1,,,
67,15551403,,1,"{'platform': 4, 'time': 1635586679}",1,"{'id': 1, 'title': 'Russia'}","{'id': 49, 'title': 'Yekaterinburg'}",,,,
68,4938151,31.10.1989,2,"{'platform': 2, 'time': 1635594105}",1,"{'id': 1, 'title': 'Russia'}","{'id': 78, 'title': 'Lipetsk'}",,,,
69,9041469,15.2.1961,2,"{'platform': 7, 'time': 1634821348}",1,"{'id': 4, 'title': 'Kazakhstan'}","{'id': 536, 'title': 'Pavlodar'}",,,,
70,31469320,29.3.1994,2,"{'platform': 7, 'time': 1635513709}",1,"{'id': 3, 'title': 'Belarus'}","{'id': 282, 'title': 'Minsk'}",,,,
71,4789284,13.10.1986,2,"{'platform': 4, 'time': 1635431479}",1,"{'id': 1, 'title': 'Russia'}","{'id': 72, 'title': 'Krasnodar'}",,,,
72,35885169,,2,"{'platform': 7, 'time': 1346244570}",1,"{'id': 1, 'title': 'Russia'}","{'id': 112, 'title': 'Petrozavodsk'}",,,,
73,15177132,,2,"{'platform': 7, 'time': 1350142521}",,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
74,20198847,11.6.1991,1,"{'platform': 4, 'time': 1635583948}",1,"{'id': 1, 'title': 'Russia'}","{'id': 49, 'title': 'Yekaterinburg'}",4,,"Их огромное количество, все не",
75,5430019,3.8.1988,2,"{'platform': 7, 'time': 1635525724}",1,"{'id': 1, 'title': 'Russia'}","{'id': 85, 'title': 'Makhachkala'}",,,,
76,42518976,,2,,1,"{'id': 1, 'title': 'Russia'}","{'id': 8, 'title': 'Cherepovets'}",,,,
77,20171373,14.11.1976,1,"{'platform': 7, 'time': 1635521985}",1,"{'id': 1, 'title': 'Russia'}","{'id': 159, 'title': 'Cherkessk'}",4,,,
78,24242648,,2,"{'platform': 2, 'time': 1635601872}",1,"{'id': 1, 'title': 'Russia'}","{'id': 99, 'title': 'Novosibirsk'}",5,,,
79,32616179,31.5.1987,2,"{'platform': 1, 'time': 1441648097}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1157789, 'title': 'Karasul'}",,,,
80,23010727,24.9.1959,2,"{'platform': 4, 'time': 1635596950}",1,"{'id': 1, 'title': 'Russia'}","{'id': 112, 'title': 'Petrozavodsk'}",,,,
81,44270622,,2,"{'platform': 7, 'time': 1328307590}",1,"{'id': 1, 'title': 'Russia'}",,,,,
82,21702739,,1,"{'platform': 4, 'time': 1634631704}",,"{'id': 1, 'title': 'Russia'}","{'id': 169, 'title': 'Yaroslavl'}",,,,
83,29033328,12.5.1997,1,"{'platform': 2, 'time': 1635591059}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
84,39028154,,1,"{'platform': 7, 'time': 1259936001}",,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
85,14267850,,1,"{'platform': 1, 'time': 1627959026}",1,"{'id': 1, 'title': 'Russia'}","{'id': 23, 'title': 'Astrakhan'}",,,,
86,32653026,10.5.1984,1,"{'platform': 7, 'time': 1476516053}",1,"{'id': 1, 'title': 'Russia'}","{'id': 126, 'title': 'Seversk'}",1,манаполия,"фантастика, детективы, романы",
87,28432986,25.10.1968,2,"{'platform': 4, 'time': 1635601357}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1018703, 'title': 'Nizhnee Ponizovye'}",,,,
88,27244821,12.8.1993,2,"{'platform': 7, 'time': 1250230272}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 2917, 'title': 'Khmelnitsky'}",6,"Cs 1.6, Call of duty 4",ни хуя нету,
89,14139273,,2,"{'platform': 1, 'time': 1364034708}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 628, 'title': 'Zaporizhia'}",,,,
90,46377309,2.10.1962,1,"{'platform': 7, 'time': 1522520286}",,"{'id': 1, 'title': 'Russia'}","{'id': 2322, 'title': 'Timashevsk'}",4,,,
91,40505621,13.12.1983,2,"{'platform': 7, 'time': 1634904223}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 3827, 'title': 'Pervomaysk'}",1,,,
92,36390997,,2,"{'platform': 7, 'time': 1249746643}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 280, 'title': 'Kharkiv'}",6,,,
93,44430628,25.2.1985,2,"{'platform': 1, 'time': 1382322338}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1790, 'title': 'Chernyanka'}",1,,,
94,30251251,,1,"{'platform': 7, 'time': 1349947420}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 377, 'title': 'Mykolaiv'}",,,Художественная литература,
95,17819919,,1,"{'platform': 4, 'time': 1635595378}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 11267, 'title': 'Sverdlovsk / Dolzhansk'}",,,,
96,36567197,,1,"{'platform': 7, 'time': 1455399957}",1,"{'id': 65, 'title': 'Germany'}","{'id': 4183, 'title': 'Stuttgart'}",4,,,
97,24738619,11.10.1978,2,"{'platform': 1, 'time': 1635491935}",1,,,,,,
98,4174454,21.12.1966,1,"{'platform': 2, 'time': 1635602052}",,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
99,3729221,22.3.1991,2,"{'platform': 4, 'time': 1635603724}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
100,1845201,,2,"{'platform': 7, 'time': 1268223631}",,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
101,47482896,8.12.1976,1,"{'platform': 7, 'time': 1597524038}",1,"{'id': 15, 'title': 'Moldova'}","{'id': 12957, 'title': 'Oknitsa'}",,,,
102,7293056,,2,"{'platform': 1, 'time': 1606318443}",,"{'id': 1, 'title': 'Russia'}","{'id': 172, 'title': 'Severomorsk'}",,,,
103,35293263,,2,"{'platform': 1, 'time': 1606332643}",,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
104,23015814,26.6.1984,2,"{'platform': 7, 'time': 1635173167}",1,"{'id': 1, 'title': 'Russia'}","{'id': 72, 'title': 'Krasnodar'}",4,,,
105,43102646,,2,"{'platform': 7, 'time': 1247816524}",,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
106,5379704,,1,"{'platform': 4, 'time': 1635589058}",1,"{'id': 1, 'title': 'Russia'}","{'id': 135, 'title': 'Sterlitamak'}",4,,,
107,36400722,6.5.1977,2,"{'platform': 7, 'time': 1241548817}",,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
108,39546307,26.8.1985,2,"{'platform': 7, 'time': 1573731928}",1,"{'id': 1, 'title': 'Russia'}","{'id': 73, 'title': 'Krasnoyarsk'}",1,нету,нету,
109,30146157,16.11.1980,2,"{'platform': 4, 'time': 1635533290}",1,"{'id': 1, 'title': 'Russia'}","{'id': 105, 'title': 'Oryol'}",,,,
110,2941442,,2,"{'platform': 4, 'time': 1635586926}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1297, 'title': 'Schelkovo'}",4,,,
111,22855061,,1,"{'platform': 7, 'time': 1635605528}",,"{'id': 1, 'title': 'Russia'}","{'id': 35, 'title': 'Veliky Novgorod'}",,,,
112,32784340,30.3.1989,1,"{'platform': 7, 'time': 1416600656}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 223, 'title': 'Donetsk'}",,,,
113,19332414,,1,"{'platform': 1, 'time': 1606291052}",1,"{'id': 1, 'title': 'Russia'}","{'id': 12116, 'title': 'Chikola'}",,,,
114,25654316,,2,"{'platform': 7, 'time': 1368035356}",,"{'id': 1, 'title': 'Russia'}",,,,,
115,43861146,,2,"{'platform': 1, 'time': 1524618608}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 280, 'title': 'Kharkiv'}",,,,
116,23874512,,1,"{'platform': 4, 'time': 1583527322}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 1510703, 'title': 'Kvasilov'}",,,,
117,12937717,5.2.1994,1,"{'platform': 4, 'time': 1600364007}",,,,,,,
118,10755426,,2,"{'platform': 1, 'time': 1494991373}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 438, 'title': 'Uzhgorod'}",,,,
119,8150554,26.5.1990,2,"{'platform': 2, 'time': 1632148068}",1,"{'id': 9, 'title': 'USA'}","{'id': 378, 'title': 'New York City'}",,,,
120,32354058,,1,"{'platform': 1, 'time': 1585510369}",1,"{'id': 1, 'title': 'Russia'}","{'id': 64, 'title': 'Kemerovo'}",4,,,
121,8329351,12.5.1980,2,"{'platform': 7, 'time': 1328295729}",1,"{'id': 1, 'title': 'Russia'}","{'id': 169, 'title': 'Yaroslavl'}",4,,,
122,14627853,27.2.1975,1,"{'platform': 4, 'time': 1635594172}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
123,18581421,10.5.1980,2,"{'platform': 3, 'time': 1600405178}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",4,,,
124,37881095,12.5.1999,2,,1,"{'id': 1, 'title': 'Russia'}","{'id': 49, 'title': 'Yekaterinburg'}",,,,
125,37569660,8.7.1985,2,"{'platform': 7, 'time': 1469634233}",1,"{'id': 1, 'title': 'Russia'}","{'id': 11243, 'title': 'Armyansk'}",1,,,
126,21781624,6.6.1994,1,"{'platform': 2, 'time': 1635268357}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
127,42615739,,2,"{'platform': 7, 'time': 1627220095}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
128,3957247,,1,"{'platform': 2, 'time': 1635522315}",1,"{'id': 1, 'title': 'Russia'}",,,,,
129,29813864,16.8.1985,2,"{'platform': 1, 'time': 1606306485}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 292, 'title': 'Odessa'}",6,,,
130,5649389,5.2.1984,2,"{'platform': 4, 'time': 1635568234}",1,"{'id': 4, 'title': 'Kazakhstan'}","{'id': 14, 'title': 'Nur-Sultan/Astana'}",4,,,
131,36399134,,2,"{'platform': 7, 'time': 1355648886}",,,,,,,
132,24297364,2.4.1977,2,"{'platform': 7, 'time': 1635515477}",1,"{'id': 65, 'title': 'Germany'}","{'id': 1950388, 'title': 'Bad Kreuznach'}",,,,
133,5009367,,1,"{'platform': 1, 'time': 1635494881}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
134,14164399,8.10.1987,1,"{'platform': 1, 'time': 1620316897}",,"{'id': 4, 'title': 'Kazakhstan'}","{'id': 706, 'title': 'Oral'}",,,,
135,36938707,4.7.1984,2,"{'platform': 7, 'time': 1241878876}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",5,Вышибалы,Все творчество Твардовского и ,
136,12417570,,2,"{'platform': 7, 'time': 1209451049}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
137,14516698,,2,"{'platform': 1, 'time': 1606281592}",1,,,,,,
138,36191500,,2,"{'platform': 1, 'time': 1627970539}",1,"{'id': 1, 'title': 'Russia'}","{'id': 96, 'title': 'Nizhny Tagil'}",,,"Очень много, в основном истори",
139,7652611,3.12.1986,1,"{'platform': 4, 'time': 1635502214}",,"{'id': 1, 'title': 'Russia'}",,,,,
140,49818450,5.2.1986,2,"{'platform': 7, 'time': 1328694527}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",1,,,
141,14582744,,2,"{'platform': 7, 'time': 1627817648}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
142,21746078,,2,"{'platform': 1, 'time': 1620128564}",1,"{'id': 3, 'title': 'Belarus'}","{'id': 282, 'title': 'Minsk'}",6,,не умею этого делать,
143,12300772,17.1.1986,1,"{'platform': 7, 'time': 1328500053}",,"{'id': 2, 'title': 'Ukraine'}","{'id': 223, 'title': 'Donetsk'}",,,,
144,42436126,,1,"{'platform': 7, 'time': 1348050559}",,,,,,,
145,20004150,,1,"{'platform': 2, 'time': 1635598875}",1,"{'id': 1, 'title': 'Russia'}","{'id': 110, 'title': 'Perm'}",,,,
146,20470415,,2,"{'platform': 7, 'time': 1354205464}",,,,,,,
147,1126648,8.1.1979,2,"{'platform': 7, 'time': 1241505590}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",4,,,
148,18226205,,1,"{'platform': 7, 'time': 1528406108}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 2917, 'title': 'Khmelnitsky'}",,,,
149,7096949,,1,"{'platform': 7, 'time': 1328910385}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 292, 'title': 'Odessa'}",,,,
150,36167479,,2,"{'platform': 7, 'time': 1286547716}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 223, 'title': 'Donetsk'}",,,,
151,31844733,,2,"{'platform': 7, 'time': 1545435329}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 1515250, 'title': 'Nezhin'}",4,,,
152,14813941,,1,"{'platform': 2, 'time': 1635530424}",1,"{'id': 1, 'title': 'Russia'}",,,,,
153,11865438,,2,"{'platform': 7, 'time': 1219277752}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
154,41815453,,1,"{'platform': 7, 'time': 1245955399}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
155,33514490,,1,"{'platform': 7, 'time': 1322283860}",1,"{'id': 1, 'title': 'Russia'}",,,,,
156,31294657,,2,"{'platform': 2, 'time': 1600374378}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 627, 'title': 'Simferopol'}",,,,
157,32734216,,1,"{'platform': 4, 'time': 1635603876}",1,"{'id': 1, 'title': 'Russia'}","{'id': 34, 'title': 'Velikie Luki'}",,,,
158,43855523,26.8.1975,1,"{'platform': 7, 'time': 1309288857}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1154663, 'title': 'Basyanovsky'}",6,молчанка) кто кого переглядит),Детективы и романы))),
159,27893893,,2,"{'platform': 2, 'time': 1628490479}",,"{'id': 2, 'title': 'Ukraine'}",,,,,
160,42268244,,1,"{'platform': 7, 'time': 1465223449}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
161,5375054,,2,"{'platform': 7, 'time': 1635574894}",1,"{'id': 1, 'title': 'Russia'}","{'id': 125, 'title': 'Saratov'}",,,,
162,7434471,,2,"{'platform': 1, 'time': 1620118323}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,1,1,
163,17432191,6.10.1993,1,"{'platform': 1, 'time': 1626116181}",1,"{'id': 1, 'title': 'Russia'}","{'id': 166, 'title': 'Elista'}",2,,гарри потер,
164,14165421,,1,"{'platform': 2, 'time': 1592737271}",1,"{'id': 65, 'title': 'Germany'}","{'id': 5256191, 'title': 'Kassel'}",,,,
165,22386427,,1,"{'platform': 1, 'time': 1620142760}",1,"{'id': 1, 'title': 'Russia'}","{'id': 157, 'title': 'Cheboxary'}",1,вышла из этого возроста,Виктор Гюго''Нотердам де пари',
166,9795381,6.4.1989,2,"{'platform': 7, 'time': 1205586680}",1,"{'id': 1, 'title': 'Russia'}","{'id': 95, 'title': 'Nizhny Novgorod'}",4,sadfadg,djddgj,
167,49887459,12.1.1995,2,"{'platform': 7, 'time': 1252744527}",1,"{'id': 1, 'title': 'Russia'}","{'id': 382, 'title': 'Nefteyugansk'}",,Я мало играю,Таких нету=),
168,39618567,,1,"{'platform': 7, 'time': 1601580190}",1,"{'id': 2, 'title': 'Ukraine'}",,,,,
169,32097691,10.4.1995,2,"{'platform': 7, 'time': 1328484238}",1,"{'id': 1, 'title': 'Russia'}","{'id': 73, 'title': 'Krasnoyarsk'}",6,"S.T.A.L.R.E.R, Combat, , Count",Не умею читиать! Только смотрю,
170,17313505,,2,"{'platform': 7, 'time': 1635584331}",1,"{'id': 1, 'title': 'Russia'}","{'id': 627, 'title': 'Simferopol'}",,,,
171,20673403,,1,"{'platform': 1, 'time': 1606253339}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
172,9929123,14.2.1990,1,"{'platform': 2, 'time': 1635605321}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1060, 'title': 'Sosnogorsk'}",,,,
173,7877085,20.12.1991,2,"{'platform': 1, 'time': 1635541563}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",5,"S.T.A.L.K.E.R, BSFG, SOLDAT, В","черновик, чистовик, пикник на ",
174,39110297,,2,"{'platform': 7, 'time': 1634192460}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",4,,,
175,3937425,,2,"{'platform': 7, 'time': 1196029700}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
176,6714357,2.5.1984,2,"{'platform': 1, 'time': 1620116139}",1,"{'id': 1, 'title': 'Russia'}","{'id': 35, 'title': 'Veliky Novgorod'}",1,,,
177,6929479,,1,"{'platform': 4, 'time': 1629097088}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",1,,,
